[2022-03-31 08:03:56] local.ERROR: [Product] a0e4b3a3-c388-11eb-9c48-d89ef3099164: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (a0e4b3a3-c388-11eb-9c48-d89ef3099164, ?, ?, 963837, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
[2022-03-31 08:03:56] local.ERROR: [Product] d683cc33-3872-11eb-ab33-a41f727c2fd9: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (d683cc33-3872-11eb-ab33-a41f727c2fd9, 52, ?, 731285, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
[2022-03-31 08:03:56] local.ERROR: [Product] d683cc36-3872-11eb-ab33-a41f727c2fd9: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (d683cc36-3872-11eb-ab33-a41f727c2fd9, 52, ?, 731278, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
[2022-03-31 08:03:56] local.ERROR: [Product] d683cc39-3872-11eb-ab33-a41f727c2fd9: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (d683cc39-3872-11eb-ab33-a41f727c2fd9, 52, ?, 731286, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
[2022-03-31 08:03:56] local.ERROR: [Product] d683cc3c-3872-11eb-ab33-a41f727c2fd9: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (d683cc3c-3872-11eb-ab33-a41f727c2fd9, 52, ?, 731277, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
[2022-03-31 08:03:56] local.ERROR: [Product] d683cc40-3872-11eb-ab33-a41f727c2fd9: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (d683cc40-3872-11eb-ab33-a41f727c2fd9, 52, ?, 732158, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
[2022-03-31 08:03:56] local.ERROR: [Product] d683cc41-3872-11eb-ab33-a41f727c2fd9: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (d683cc41-3872-11eb-ab33-a41f727c2fd9, 52, ?, 732143, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
[2022-03-31 08:03:56] local.ERROR: [Product] d683cc44-3872-11eb-ab33-a41f727c2fd9: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (d683cc44-3872-11eb-ab33-a41f727c2fd9, 52, ?, 732160, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
[2022-03-31 08:03:56] local.ERROR: [Product] d683cc45-3872-11eb-ab33-a41f727c2fd9: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (d683cc45-3872-11eb-ab33-a41f727c2fd9, 52, ?, 732142, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
[2022-03-31 08:03:56] local.ERROR: [Product] d683cc47-3872-11eb-ab33-a41f727c2fd9: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (d683cc47-3872-11eb-ab33-a41f727c2fd9, 52, ?, 732141, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
[2022-03-31 08:03:56] local.ERROR: [Product] d683cc48-3872-11eb-ab33-a41f727c2fd9: SQLSTATE[HY000]: General error: 1364 Field 'user_id' doesn't have a default value (SQL: insert into `products` (`uuid`, `brand_id`, `manufacturer_id`, `article`, `updated_at`, `created_at`) values (d683cc48-3872-11eb-ab33-a41f727c2fd9, 52, ?, 732140, 2022-03-31 08:03:44, 2022-03-31 08:03:44))  
